Date,Index2000,GIDA2000,ALKOL2000,Index2010,GIDA2010,ALKOL2010,Index2016,GIDA2016,ALKOL2016,FoodGrupIndex,NonFoodIndex,ChainedFoodIndex,ChainedNonFoodIndex,AllIndex,IndexDiff,LDiffIndex,FAO_Foodindex,FAO_Meat,FAO_Dairy,FAO_Cereals,FAO_Oils,FAO_Sugar,Gida_Jan01,FAO_Jan01,KKTC_FAO_GIDA_Diff,USDTL,USDTL_Jan01,FOOD_CPI_USD,FAO_FOOD_jan01,KKTC_GIDA(USD)vsFAO_GIDA
2000-12-31,100,100,100,,22.02,3.96,,18.54,3.07,100,100,100,100,100,0,-13.5463498,54.44996727,59.30333134,60.09094017,53.67087963,38.13921323,62.0095692,,,,0.680981389,,,,
2001-01-31,267.7196439,239.3148891,244.1661153,,,,,,,239.7226,283.7500319,239.7226,283.7500319,267.7196439,0.164453498,1.643723354,53.80942057,57.34715241,59.74202166,53.91884059,37.27426626,63.88583406,100,,,0.673857636,100,100,100,0
2001-02-28,276.455582,238.9246725,247.5018198,,,,,,,239.6455204,297.5320775,239.6455204,297.5320775,276.455582,0.209388274,1.76257772,54.24899231,60.90288263,59.46601778,52.99071574,35.8276831,61.09984798,99.83694427,100.8169048,-0.979960531,0.7416689,110.0631439,90.70878836,100.8169048,-10.10811643
2001-03-31,295.7283509,251.8758048,308.4832471,,,,,,,256.6332554,318.1131981,256.6332554,318.1131981,295.7283509,0.2078933,1.788733454,55.07735261,63.61535396,59.67423371,52.1664414,38.20313786,57.39063831,105.248698,102.3563384,2.892359566,0.970628389,144.0405713,73.06878683,102.3563384,-29.28755156
2001-04-30,340.9145898,288.3662341,400.7363252,,,,,,,297.8101363,365.5950923,297.8101363,365.5950923,340.9145898,0.198832664,1.831133319,54.61970619,64.11222927,59.50172419,50.99283926,38.03313854,54.11913001,120.4965705,101.5058434,18.99072708,1.21277565,179.9750548,66.95181766,101.5058434,-34.55402576
2001-05-31,351.0306377,295.6379853,404.6800057,,,,,,,304.8021869,377.4998607,304.8021869,377.4998607,351.0306377,0.207097803,1.861520515,55.40924219,64.45896407,61.95820485,51.70635307,36.56613286,59.31191102,123.5351408,102.9731255,20.56201528,1.135234522,168.4680058,73.32854701,102.9731255,-29.64457852
2001-06-30,363.3174817,310.9691088,384.8230818,,,,,,,317.1760068,389.7369046,317.1760068,389.7369046,363.3174817,0.199717606,1.860702647,54.77038995,62.51063507,62.38971792,51.03778816,38.84721176,55.95949575,129.9413964,101.7858757,28.15552071,1.218529524,180.8289256,71.85874495,101.7858757,-29.92713077
2001-07-31,373.8685314,293.7696954,422.1383709,,,,,,,304.5581642,413.5538667,304.5581642,413.5538667,373.8685314,0.29153484,2.037409375,56.49964227,62.90462018,62.94402846,51.71979742,47.4364945,54.42293301,122.7544581,104.9995366,17.7549215,1.323682636,196.4335736,62.4915873,104.9995366,-42.50794935
2001-08-31,393.3954769,312.9527155,484.9116227,,,,,,,327.4046313,431.1801394,327.4046313,431.1801394,393.3954769,0.26379436,2.016094868,56.57957023,63.0480357,62.53002265,51.57290073,50.0210468,50.21090735,130.7702653,105.1480756,25.6221897,1.404316818,208.3996296,62.749759,105.1480756,-42.39831662
2001-09-30,416.7313579,334.5872837,488.8964347,,,,,,,347.5558638,456.3394683,347.5558638,456.3394683,416.7313579,0.261040122,2.036563445,55.37937452,62.94328878,62.05079678,51.15891965,45.39620169,47.28074937,139.8104752,102.9176191,36.89285606,1.4733942,218.6506645,63.94239665,102.9176191,-38.97522249
2001-10-31,441.1817211,355.1428529,515.7029503,,,,,,,368.6367803,482.71909,368.6367803,482.71909,441.1817211,0.258583491,2.057218305,54.16768499,61.27007918,62.84853364,51.00715959,43.29500851,42.02583795,148.3998151,100.6658024,47.73401264,1.604006955,238.0335056,62.34408668,100.6658024,-38.32171574
2001-11-30,448.6069235,366.0093426,519.1039784,,,,,,,378.8758514,488.5331436,378.8758514,488.5331436,448.6069235,0.244439589,2.040037518,54.7364872,59.52843827,60.60162784,51.8676399,48.26945905,47.48806679,152.940481,101.7228705,51.21761052,1.524867364,226.2892459,67.58627898,101.7228705,-34.13659152
2001-12-31,461.4373101,390.5057676,524.5907876,,,,,,,401.7746542,495.5986138,401.7746542,495.5986138,461.4373101,0.203329808,1.972313757,54.27387935,58.20038646,56.9094074,52.00547656,50.60781028,48.45657953,163.176545,100.8631551,62.31338981,1.455691737,216.0236314,75.53643269,100.8631551,-25.32672246
2002-01-31,469.878746,403.049096,489.9780694,,,,,,,410.3548543,503.9605968,410.3548543,503.9605968,469.878746,0.199212549,1.971302493,53.45475161,58.42657403,52.99527414,51.6554341,49.26091578,48.18251385,168.4178939,99.34087943,69.07701445,1.372475864,203.6744543,82.68974843,99.34087943,-16.651131
2002-02-28,479.2709818,413.4976352,489.5226964,,,,,,,419.8869977,513.2727252,419.8869977,513.2727252,479.2709818,0.194849534,1.970280506,51.66905678,56.61842969,52.8353081,50.36964038,47.78557487,40.50769263,172.7839153,96.02232515,76.76159011,1.353222778,200.8173099,86.04034949,96.02232515,-9.981975663
2002-03-31,490.1711365,425.4568732,489.2182318,,,,,,,430.8155592,524.1566149,430.8155592,524.1566149,490.1711365,0.190425443,1.970072709,52.02013388,59.10633598,50.71392086,49.61017821,47.62177337,41.44801295,177.7811965,96.67477056,81.10642589,1.36025781,201.8613037,88.07096419,96.67477056,-8.603806372
2002-04-30,495.0772864,422.2661245,488.5882441,,,,,,,427.8400242,533.575615,427.8400242,533.575615,495.0772864,0.213573908,2.024221196,51.0399798,56.27076106,48.89490976,49.30965581,48.9686499,42.61118464,176.4479118,94.85324179,81.59467001,1.320908762,196.0219326,90.01437209,94.85324179,-4.838869705
2002-05-31,495.1541049,402.2296087,488.777082,,,,,,,409.5033046,544.1955523,409.5033046,544.1955523,495.1541049,0.272020864,2.1293426,50.46784065,55.22463839,44.77823662,50.22782336,51.64109983,37.57544189,168.0754633,93.7899723,74.28549102,1.392898043,206.7050914,81.3117191,93.7899723,-12.4782532
2002-06-30,499.3221012,390.8935097,489.7182093,,,,,,,399.1990187,556.6500054,399.1990187,556.6500054,499.3221012,0.315329497,2.197145387,51.32610807,55.38798442,42.85506728,52.03044297,55.80374755,35.58433362,163.3385667,95.38498561,67.95358105,1.52760605,226.695665,72.05191447,95.38498561,-23.33307114
2002-07-31,513.9857467,391.5291041,555.7464687,,,,,,,405.3303987,576.1990071,405.3303987,576.1990071,513.9857467,0.332438418,2.232662282,51.99504081,55.07292555,40.64167763,54.62011509,56.14791361,39.52618986,163.6041558,96.62813735,66.97601846,1.657075348,245.9088179,66.53041449,96.62813735,-30.09772286
2002-08-31,531.5565025,432.3872364,559.9175025,,,,,,,443.1052429,582.2014209,443.1052429,582.2014209,531.5565025,0.261677126,2.143315197,53.41666272,54.96457784,40.08100889,58.05905521,59.64718946,38.9542966,180.6771146,99.27009463,81.40701995,1.64338519,243.8772082,74.08528084,99.27009463,-25.18481378
